 docno              rank  score                
 31000000000097679  1     0.4762951520912547   
 31000000000031632  2     0.3283569863406442   
 31000000000031517  3     0.3263719263963524   
 31000000000031955  4     0.3246143256265943   
 31000000000001249  5     0.3094570252187339   
 31000000000031588  6     0.30293984280532044  
 31000000000032055  7     0.30197562950825846  
 31000000000030400  8     0.25550155366106286  
 31000000000001264  9     0.2474026374801983   
 31000000000031164  10    0.24694286154320033  
 31000000000001573  11    0.24594539318948763  
 31000000000000974  12    0.24332650428712346  
 31000000000001223  13    0.23771212825049168  
 31000000000030355  14    0.23680751451062634  
 31000000000010292  15    0.23588430870627     
 31000000000001509  16    0.23430216416056576  
 31000000000001620  17    0.2240292856045046   
 31000000000001609  18    0.2211067749631121   
 31000000000002301  19    0.21973714865216737  
 31000000000030159  20    0.21637158587930475  
 31000000000011038  21    0.21452463139867808  
 31000000000030937  22    0.21337698285957626  
 31000000000001057  23    0.2110292182153198   
 31000000000030363  24    0.20569068144499178  
 31000000000001513  25    0.20014979403320432  
 31000000000000670  26    0.19827618187888754  
 31000000000001247  27    0.1976943468343505   
 31000000000030361  28    0.19737554778669553  
 31000000000031202  29    0.1907174802550195   
 31000000000030349  30    0.18805122912366298  
 31000000000001622  31    0.18698978401828611  
 31000000000001373  32    0.18664369608995773  
 31000000000001502  33    0.18264039184417358  
 31000000000002018  34    0.1787553791611853   
 31000000000030412  35    0.17770930773834592  
 31000000000000887  36    0.17766204986149584  
 31000000000030481  37    0.17596962180908274  
 31000000000030667  38    0.17536529880129492  
 31000000000000634  39    0.16729268394474353  
 31000000000002483  40    0.16633642823797914  
 31000000000031046  41    0.16499958837573062  
 31000000000030967  42    0.1649011662587161   
 31000000000030664  43    0.16399713613582897  
 31000000000031819  44    0.1639837182188222   
 31000000000000057  45    0.16378271261925678  
 31000000000000682  46    0.16253091675789644  
 31000000000031859  47    0.1599784487059246   
 31000000000002324  48    0.15992579219820663  
 31000000000031611  49    0.15938369781312128  
 31000000000031813  50    0.15431849242555484  
 31000000000031744  51    0.15393034061671979  
 31000000000002333  52    0.153202304627409    
 31000000000001254  53    0.1528430484724274   
 31000000000000689  54    0.15261464658963278  
 31000000000031190  55    0.15114152668589634  
 31000000000002790  56    0.14800524304465817  
 31000000000002431  57    0.14740248398098862  
 31000000000000989  58    0.1470793278050928   
 31000000000001693  59    0.1449047464121751   
 31000000000002692  60    0.14209752033889292  
 31000000000001713  61    0.14111827919134667  
 31000000000031477  62    0.14006429295223452  
 31000000000000916  63    0.13889707028881304  
 31000000000001859  64    0.13848200096731844  
 31000000000002889  65    0.13704273504273504  
 31000000000002826  66    0.13616985138004245  
 31000000000002948  67    0.1345111659200349   
 31000000000030633  68    0.13426336855855706  
 31000000000002329  69    0.1340075219389887   
 31000000000002318  70    0.13395154553049288  
 31000000000030662  71    0.13373702999366097  
 31000000000002531  72    0.13287258021744894  
 31000000000030668  73    0.13113172056201644  
 31000000000001610  74    0.12926475330538534  
 31000000000000654  75    0.12822686414382137  
 31000000000030356  76    0.12689744685565948  
 31000000000002230  77    0.1268432377697614   
 31000000000002183  78    0.12659087320385282  
 31000000000001269  79    0.12652594200039455  
 31000000000031192  80    0.12562286502240746  
 31000000000000051  81    0.125064349562423    
 31000000000001605  82    0.124939610703321    
 31000000000002382  83    0.12477432609101663  
 31000000000001035  84    0.12435048316297248  
 31000000000002861  85    0.12429071966760721  
 31000000000030387  86    0.12421946419994111  
 31000000000002936  87    0.12273423147581139  
 31000000000001314  88    0.12195381666615959  
 31000000000001147  89    0.12187409738374301  
 31000000000001707  90    0.12171035152840085  
 31000000000002749  91    0.12153783181480528  
 31000000000000918  92    0.12146601618132784  
 31000000000002195  93    0.12027424387902062  
 31000000000000026  94    0.11881437569470174  
 31000000000000117  95    0.1179022603938409   
 31000000000002426  96    0.11753925550163473  
 31000000000002727  97    0.11611436185620763  
 31000000000001095  98    0.11604713102889234  
 31000000000002824  99    0.11603033548499146  
 31000000000001294  100   0.11586599606890971  
 31000000000001053  101   0.11219491715181369  
 31000000000001392  102   0.11215332424019864  
 31000000000002878  103   0.11163872333314766  
 31000000000002768  104   0.11086679942471513  
 31000000000002737  105   0.1099997255838204   
 31000000000002916  106   0.10920557946929656  
 31000000000001830  107   0.10842868349157402  
 31000000000032054  108   0.10814347186812891  
 31000000000000978  109   0.10801961788245437  
 31000000000000188  110   0.10791057030945041  
 31000000000002226  111   0.10788443164538222  
 31000000000031759  112   0.10734992836196623  
 31000000000002168  113   0.10688905777102249  
 31000000000001074  114   0.10609970752107567  
 31000000000001518  115   0.10596367865922968  
 31000000000002634  116   0.1053703801061984   
 31000000000000024  117   0.10454729209863983  
 31000000000000331  118   0.1044778064482498   
 31000000000001150  119   0.10430788847109643  
 31000000000002849  120   0.10411823530175716  
 31000000000002495  121   0.10388752105740572  
 31000000000000095  122   0.10251262706988044  
 31000000000002742  123   0.10248117705710158  
 31000000000001237  124   0.1024641496894251   
 31000000000001737  125   0.10148486651391825  
 31000000000000734  126   0.1010015748031496   
 31000000000000325  127   0.10080726285081983  
 31000000000001408  128   0.10049388287204171  
 31000000000001999  129   0.10014114943103038  
 31000000000000738  130   0.10005491351121981  
 31000000000001191  131   0.09994514673249058  
 31000000000001568  132   0.0997983369018573   
 31000000000002759  133   0.09965319643500851  
 31000000000000779  134   0.0996525770825176   
 31000000000000584  135   0.09960367255152877  
 31000000000000515  136   0.09953936504389069  
 31000000000001036  137   0.09923994850465437  
 31000000000000842  138   0.09904867803311095  
 31000000000001350  139   0.09895209765610534  
 31000000000002765  140   0.09789244895965614  
 31000000000001870  141   0.0974829766536965   
 31000000000001073  142   0.09747230969373488  
 31000000000000128  143   0.09743558580456975  
 31000000000000970  144   0.0972122858286144   
 31000000000000603  145   0.09697710145278157  
 31000000000030666  146   0.09670337623487689  
 31000000000001938  147   0.09648689958959669  
 31000000000000055  148   0.09648573835599951  
 31000000000001985  149   0.09621593077541615  
 31000000000002040  150   0.09606489802765596  
 31000000000000636  151   0.09525110791640429  
 31000000000002453  152   0.09522282402128468  
 31000000000002686  153   0.09514484755699552  
 31000000000002317  154   0.09454120921237277  
 31000000000000034  155   0.09327733047889422  
 31000000000031585  156   0.09324912182752924  
 31000000000000241  157   0.09320467360344126  
 31000000000000507  158   0.09313970374673249  
 31000000000001055  159   0.09262746819794108  
 31000000000000587  160   0.09235004780500165  
 31000000000000825  161   0.09203940117560616  
 31000000000000928  162   0.09177494133134909  
 31000000000000063  163   0.09155275389130609  
 31000000000000434  164   0.09096272763374368  
 31000000000000954  165   0.09077424760524468  
 31000000000001703  166   0.09032221721496168  
 31000000000001740  167   0.09014144685061502  
 31000000000001984  168   0.09012118078194203  
 31000000000002656  169   0.08939662574292755  
 31000000000002877  170   0.08879757210579947  
 31000000000002327  171   0.08856117094725213  
 31000000000001154  172   0.08837470787953614  
 31000000000000601  173   0.08830851251321818  
 31000000000001736  174   0.0882511585922966   
 31000000000000324  175   0.08788064806085984  
 31000000000002674  176   0.08775463292358548  
 31000000000002175  177   0.08772678528439805  
 31000000000000996  178   0.08770759031135811  
 31000000000002743  179   0.08766826686496003  
 31000000000000207  180   0.08760408243547435  
 31000000000002386  181   0.087128992642344    
 31000000000000655  182   0.08643013465291029  
 31000000000000083  183   0.08636495847113447  
 31000000000000363  184   0.08621635282351296  
 31000000000001210  185   0.0860340831043956   
 31000000000001910  186   0.08559592573216172  
 31000000000002296  187   0.08534261595290561  
 31000000000000009  188   0.08526727787113653  
 31000000000001242  189   0.08520655974662288  
 31000000000000623  190   0.08520203201054265  
 31000000000002370  191   0.08460856533761106  
 31000000000002888  192   0.08460320810468551  
 31000000000001730  193   0.08459606618267769  
 31000000000001981  194   0.08425200987861908  
 31000000000001426  195   0.08393533932198421  
 31000000000001742  196   0.08350171857098218  
 31000000000002134  197   0.08344609363615546  
 31000000000001425  198   0.08320878482168804  
 31000000000002613  199   0.0831811579165802   
 31000000000000545  200   0.08310355550948481  
 31000000000002252  201   0.08290932406717962  
 31000000000000946  202   0.08285791062052998  
 31000000000000748  203   0.0822492613263296   
 31000000000001791  204   0.08175690145728591  
 31000000000002477  205   0.08161623976870139  
 31000000000001232  206   0.0809896149028165   
 31000000000001385  207   0.08095690107848284  
 31000000000001804  208   0.08044189360036924  
 31000000000002633  209   0.0801756122928605   
 31000000000001279  210   0.0801339397271228   
 31000000000002653  211   0.08011792334982261  
 31000000000002669  212   0.07995412386556298  
 31000000000001239  213   0.07970928035952196  
 31000000000001709  214   0.07944467016142617  
 31000000000002479  215   0.07905298137319673  
 31000000000001604  216   0.07903038189310148  
 31000000000000805  217   0.07882291635941754  
 31000000000001585  218   0.07870993078395758  
 31000000000001124  219   0.07867594382673039  
 31000000000001040  220   0.07840663478371426  
 31000000000001226  221   0.07833997811131957  
 31000000000002410  222   0.07828031323842442  
 31000000000001715  223   0.07820624128142345  
 31000000000001228  224   0.07804180011097374  
 31000000000001783  225   0.07780322586906309  
 31000000000000792  226   0.07779869575343529  
 31000000000000384  227   0.07752785084326164  
 31000000000002917  228   0.07704209110128771  
 31000000000001765  229   0.07673606125867433  
 31000000000000980  230   0.07667294689224471  
 31000000000002771  231   0.07666121613739159  
 31000000000001049  232   0.07665535210594253  
 31000000000001063  233   0.07657115568290353  
 31000000000001457  234   0.07634583702349322  
 31000000000000988  235   0.07609438475264817  
 31000000000001514  236   0.07608644072622357  
 31000000000001614  237   0.07585175934073211  
 31000000000002629  238   0.07559499113642364  
 31000000000001681  239   0.07519509266901778  
 31000000000002723  240   0.07518733529031109  
 31000000000001861  241   0.07472828619898958  
 31000000000001273  242   0.0746795588344884   
 31000000000001627  243   0.07383088059234155  
 31000000000001831  244   0.07367956694758705  
 31000000000001963  245   0.07349719010992033  
 31000000000002204  246   0.07304983279725186  
 31000000000002444  247   0.0721556697597811   
 31000000000002361  248   0.07209013740018703  
 31000000000001270  249   0.07199885046116264  
 31000000000001382  250   0.07159250229949723  
 31000000000000896  251   0.07123436167187944  
 31000000000002332  252   0.07071535679633059  
 31000000000001615  253   0.07061134255793265  
 31000000000001160  254   0.07048655682357699  
 31000000000000268  255   0.07046053788011952  
 31000000000002898  256   0.07007989650168708  
 31000000000001163  257   0.06975004132626872  
 31000000000002374  258   0.06973487352562541  
 31000000000000062  259   0.06973184075707364  
 31000000000001116  260   0.06934701185914348  
 31000000000000740  261   0.06922545548743632  
 31000000000001494  262   0.06913531273445382  
 31000000000001072  263   0.06865515705819887  
 31000000000001843  264   0.06845642168540957  
 31000000000002812  265   0.06767056916882612  
 31000000000000245  266   0.06750703110527291  
 31000000000002489  267   0.06737540969829398  
 31000000000002822  268   0.0672651759869111   
 31000000000001241  269   0.06717893713653655  
 31000000000000856  270   0.06696514337740876  
 31000000000000578  271   0.06685345941844077  
 31000000000001986  272   0.06672437183211126  
 31000000000000136  273   0.06672215055553243  
 31000000000000215  274   0.0664759535655058   
 31000000000000074  275   0.06631977763806624  
 31000000000002067  276   0.06630825855010132  
 31000000000000487  277   0.06584967186049759  
 31000000000001175  278   0.06480373771339885  
 31000000000001071  279   0.06462612452842356  
 31000000000000741  280   0.06412420114698895  
 31000000000002064  281   0.06406475998689456  
 31000000000000068  282   0.06405708167537594  
 31000000000000140  283   0.0639666163997734   
 31000000000002446  284   0.06308624488511173  
 31000000000002626  285   0.06267296236651604  
 31000000000001100  286   0.06242116573493     
 31000000000002707  287   0.062194052892485044 
 31000000000000065  288   0.06206501459305881  
 31000000000001061  289   0.062053965354428225 
 31000000000002806  290   0.06138309112904461  
 31000000000002525  291   0.06125832874870101  
 31000000000000722  292   0.06076983717898183  
 31000000000001295  293   0.060459574211355865 
 31000000000002227  294   0.06016374865856679  
 31000000000002696  295   0.06011637846998305  
 31000000000002635  296   0.05964053503146806  
 31000000000001785  297   0.058888342062157054 
 31000000000000393  298   0.05805760136725398  
 31000000000000485  299   0.05800845127492691  
 31000000000000575  300   0.05794807297539537  
 31000000000000428  301   0.057373294974737706 
 31000000000001225  302   0.05699397144969573  
 31000000000001705  303   0.05653378840553138  
 31000000000002053  304   0.05617450040640152  
 31000000000000267  305   0.05587187868059572  
 31000000000000190  306   0.05525840559132077  
 31000000000000541  307   0.054764669717876906 
 31000000000001250  308   0.05469666784924815  
 31000000000002923  309   0.05449959891775774  
 31000000000001749  310   0.05330558455288337  
 31000000000002885  311   0.053032307570184956 
 31000000000000800  312   0.05298569115363008  
 31000000000001393  313   0.0529566412133062   
 31000000000002619  314   0.052944400784557165 
 31000000000002820  315   0.05291993689477401  
 31000000000001726  316   0.05249819920110012  
 31000000000001059  317   0.05190642987096231  
 31000000000001733  318   0.05183025381760819  
 31000000000002650  319   0.05152446078305355  
 31000000000002881  320   0.050925514209850975 
 31000000000001037  321   0.05047916483018297  
 31000000000001383  322   0.050030266532703455 
 31000000000002760  323   0.05001902931762738  
 31000000000001357  324   0.04957364317117964  
 31000000000002456  325   0.049429376475883365 
 31000000000000091  326   0.04928503805343464  
 31000000000002330  327   0.049278070428855056 
 31000000000002986  328   0.048126737142891444 
 31000000000001616  329   0.04787440507825796  
 31000000000001240  330   0.0471793604274802   
 31000000000001575  331   0.0466459920055391   
 31000000000000189  332   0.045529147854729245 
 31000000000001612  333   0.045373766186724625 
 31000000000001003  334   0.0450894815581377   
 31000000000000050  335   0.04498170882240725  
 31000000000001336  336   0.04323674233231403  
 31000000000001193  337   0.04299328045647848  
 31000000000000022  338   0.04124904813846755  
 31000000000002106  339   0.040782586135853775 
 31000000000002140  340   0.03275399977120818  
 31000000000002821  341   0.0297611534720727   
 31000000000002547  342   0.02807210437486431  
